电影ID,电影链接,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,豆瓣评分,评价人数,5星,4星
1293838,https://movie.douban.com/subject/1293838/,星球大战 Star Wars (1977),乔治·卢卡斯,乔治·卢卡斯,哈里森·福特 / 马克·哈米尔 / 凯丽·费雪 / 彼得·库欣 / 亚历克·吉尼斯 / 更多...,动作 / 科幻 / 冒险,美国,英语,1977-05-25(美国),121分钟 / 125分钟(特别版),星球大战第四集：新希望 / 星际大战四部曲：曙光乍现 / 星际大战 / Star Wars: Episode IV - A New Hope,tt0076759,8.5,162057,40.6%,44.5%
1293839,https://movie.douban.com/subject/1293839/,罗马假日 Roman Holiday (1953),威廉·惠勒,达尔顿·特朗勃 / 伊安·麦克莱伦·亨特 / 约翰·戴顿,奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 / 哈特利·鲍尔 / 哈考特·威廉姆斯 / 更多...,剧情 / 喜剧 / 爱情,美国,英语 / 意大利语 / 德语,1953-08-20(威尼斯电影节) / 1953-09-02(美国),118分钟,金枝玉叶(港) / 罗马假期(台) / 罗马的假日,tt0046250,9.1,1051037,60.8%,32.4%
1293841,https://movie.douban.com/subject/1293841/,倒扣的王牌 Ace in the Hole (1951),比利·怀尔德,比利·怀尔德 / 莱赛尔·萨缪尔斯 / 沃尔特·纽曼,柯克·道格拉斯 / 简·斯特林 / 罗伯特·亚瑟 / 波特·霍尔 / 弗兰克·卡迪 / 更多...,剧情 / 黑色电影,美国,英语 / 拉丁语,1951-06-29,111 分钟,生葬古丘坟(港) / 洞里乾坤(台) / 秘藏的王牌 / 洞中王牌 / 扑克王 / The Big Carnival,tt0043338,8.7,22153,44.9%,46.0%
1293846,https://movie.douban.com/subject/1293846/,西力传 Zelig (1983),伍迪·艾伦,伍迪·艾伦,伍迪·艾伦 / 米娅·法罗 / 帕特里克霍根 / John Buckwalter / 马文恰特诺弗 / 更多...,喜剧 / 奇幻,美国,英语 / 德语,1983-07-15,79分钟,变色龙 / 泽利格 / Identity Crisis and Its Relationship to Personality Disorder / The Cat's Pyjamas,tt0086637,8.9,38193,55.0%,35.7%
1293847,https://movie.douban.com/subject/1293847/,生之欲 生きる (1952),黑泽明,黑泽明 / 桥本忍 / 小国英雄,志村乔 / 日守新一 / 田中春男 / 千秋实 / 小田切美喜 / 更多...,剧情,日本,日语,1952-10-09(日本),143分钟,流芳颂(港) / 活下去 / To Live / Living / Ikiru,tt0044741,9.3,56155,70.0%,24.7%
1293852,https://movie.douban.com/subject/1293852/,罗斯玛丽的婴儿 Rosemary's Baby (1968),罗曼·波兰斯基,艾拉·莱文 / 罗曼·波兰斯基,米娅·法罗 / 约翰·卡萨韦蒂斯 / 鲁思·戈登 / 西德尼·布莱克默 / 莫里斯·埃文斯 / 更多...,剧情 / 恐怖,美国,英语,1968-06-12,136分钟,魔鬼怪婴(港) / 失婴记(台) / 魔鬼圣婴 / 罗丝玛丽的婴儿,tt0063522,8.2,89838,32.5%,49.2%
1293861,https://movie.douban.com/subject/1293861/,油炸绿番茄 Fried Green Tomatoes (1991),乔恩·阿维奈,卡萝尔·索别斯基 / 范妮·弗拉格,凯西·贝茨 / 杰西卡·坦迪 / 玛丽-露易丝·帕克 / 玛丽·斯图尔特·马斯特森,剧情,美国,英语,1991-12-27(美国),130分钟 / 137分钟(extended version),笑傲同行,tt0101921,8.8,74981,51.6%,38.8%
1293863,https://movie.douban.com/subject/1293863/,钢铁巨人 The Iron Giant (1999),布拉德·伯德,蒂姆·麦肯莱斯 / 布拉德·伯德 / 特德·休斯,艾力·马伦斯奥 / 范·迪塞尔 / 小哈里·康尼克 / 詹妮弗·安妮斯顿 / 克里斯托弗·麦克唐纳 / 更多...,喜剧 / 动作 / 科幻 / 动画 / 冒险,美国,英语,1999-08-06(美国),86分钟 / 89分钟(蓝光版),铁巨人(台) / 大铁人(港),tt0129167,8.6,33376,42.8%,44.0%
1293867,https://movie.douban.com/subject/1293867/,和平饭店 和平飯店 (1995),韦家辉,韦家辉,周润发 / 叶童 / 秦豪 / 刘洵 / 吴倩莲 / 更多...,动作 / 西部,中国香港,粤语,1995-04-12,89 分钟,老板的故事 / Peace Hotel / Wo ping fan dim,tt0113292,7.6,74535,18.6%,48.9%
1293868,https://movie.douban.com/subject/1293868/,龙凤配 Sabrina (1954),比利·怀尔德,比利·怀尔德 / 萨缪尔·A·泰勒 / 恩斯特·莱赫曼,亨弗莱·鲍嘉 / 奥黛丽·赫本 / 威廉·霍尔登 / 沃尔特·汉普顿 / 约翰·威廉姆斯 / 更多...,剧情 / 喜剧 / 爱情,美国,英语 / 法语,1954-09-09(伦敦首映) / 1954-10-15(美国),113分钟,萨比里娜 / Sabrina Fair,tt0047437,7.7,45388,21.8%,46.7%
1293889,https://movie.douban.com/subject/1293889/,唐人街 Chinatown (1974),罗曼·波兰斯基,罗伯特·汤 / 罗曼·波兰斯基,杰克·尼科尔森 / 费·唐纳薇 / 约翰·休斯顿 / 戴安·拉德 / 罗曼·波兰斯基,剧情 / 悬疑 / 惊悚 / 犯罪,美国,英语 / 粤语 / 西班牙语,1974-06-20(美国),130分钟,,tt0071315,8.4,74704,36.4%,48.9%
1293893,https://movie.douban.com/subject/1293893/,化身博士 Dr. Jekyll and Mr. Hyde (1931),鲁本·马莫利安,Percy Heath / 罗伯特·路易斯·史蒂文森 / Samuel Hoffenstein,弗雷德里克·马奇 / 米利亚姆·霍普金斯 / 罗丝·霍巴德 / 福尔摩斯·赫伯特,剧情 / 科幻 / 恐怖,美国,英语,1931-12-31(纽约首映),98 分钟 / 96 分钟(TCM print),,tt0022835,8.1,3892,26.3%,53.9%
1293908,https://movie.douban.com/subject/1293908/,城市之光 City Lights (1931),查理·卓别林,查理·卓别林,查理·卓别林 / 弗吉尼亚·切瑞尔 / 佛罗伦斯·李 / 亨利·伯格曼 / 珍·哈露,剧情 / 喜剧 / 爱情,美国,英语,1931-01-30(洛杉矶首映) / 1931-03-07(美国),87分钟,City Lights: A Comedy Romance in Pantomime / Lichter der Großstadt,tt0021749,9.3,174728,70.4%,25.1%
1293909,https://movie.douban.com/subject/1293909/,从海底出击 Das Boot (1981),沃尔夫冈·彼德森,沃尔夫冈·彼德森 / 洛塔尔·G·布赫海姆,尤尔根·普洛斯诺 / 赫贝特·格勒内梅厄 / Klaus Wennemann / Jan Fedder / 拉尔夫·瑞克特 / 更多...,剧情 / 历史 / 战争 / 冒险,西德,德语 / 英语 / 法语,1981-09-17(西德),149分钟(剧场版) / 209分钟(导演剪辑版) / 293分钟(未剪辑版),潜水艇 / 潜艇风暴 / 特种任务 / 特殊任务 / 紧急下潜 / U潜艇96 / 从海底出发 / 船 / The Boat,tt0082096,9.1,51570,61.7%,30.3%
1293917,https://movie.douban.com/subject/1293917/,尽善尽美 As Good as It Gets (1997),詹姆斯·L·布鲁克斯,马克·安德勒斯 / 詹姆斯·L·布鲁克斯,杰克·尼科尔森 / 海伦·亨特 / 格雷戈·金尼尔 / 小库珀·古丁 / 斯基特·乌尔里奇 / 更多...,剧情 / 喜剧 / 爱情,美国,英语,1997-12-06(美国加利福尼亚韦斯特伍德首映) / 1997-12-25(美国),139分钟,猫屎先生(港) / 爱在心头口难开(台) / 人生就是这样 / 渐入佳境 / 恋爱小说家,tt0119822,8.2,39421,31.4%,48.7%
1293925,https://movie.douban.com/subject/1293925/,橡皮头 Eraserhead (1977),大卫·林奇,大卫·林奇,杰克·南斯 / 夏洛特·斯图尔特 / 珍妮·贝茨 / 朱迪思·罗伯茨 / 杰克·菲斯克 / 更多...,恐怖 / 奇幻,美国,英语,1977-09-28,89 分钟,擦纸胶头(港) / 怪头人,tt0074486,7.8,25676,26.6%,44.7%
1293926,https://movie.douban.com/subject/1293926/,看得见风景的房间 A Room with a View (1985),詹姆斯·伊沃里,鲁丝·普罗厄·贾布瓦拉 / E·M·福斯特,玛吉·史密斯 / 海伦娜·伯翰·卡特 / 丹霍姆·艾略特 / 朱利安·山德斯 / 西蒙·卡洛 / 更多...,剧情 / 喜剧 / 爱情,英国,英语 / 意大利语,1985-12-13(皇家电影专场) / 1986-03-07(美国) / 1986-04-11(英国),117分钟,翡冷翠之恋(港) / 窗外有蓝天(台),tt0091867,7.7,58455,19.7%,47.8%
1293929,https://movie.douban.com/subject/1293929/,廊桥遗梦 The Bridges of Madison County (1995),克林特·伊斯特伍德,理查德·拉·格拉文斯 / 罗伯特·杰姆斯·沃勒,克林特·伊斯特伍德 / 梅丽尔·斯特里普 / 安妮·科利 / 维克多·斯勒扎克 / 吉姆·海尼 / 更多...,剧情 / 爱情,美国,英语,1995-06-02(美国),135分钟,麦迪逊之桥(港/台),tt0112579,8.8,272695,50.9%,37.7%
1293934,https://movie.douban.com/subject/1293934/,爱国者 The Patriot (2000),罗兰·艾默里奇,罗伯特·罗达特,梅尔·吉布森 / 希斯·莱杰 / 乔莉·理查德森 / 詹森·艾萨克 / 克里斯·库珀 / 更多...,剧情 / 动作 / 战争,美国 / 德国,英语,2000-06-28(美国),165分钟 / 175分钟(加长版),孤军雄心(港) / 决战时刻(台),tt0187393,8.1,39581,30.2%,49.3%
1293936,https://movie.douban.com/subject/1293936/,杀手 The Killing (1956),斯坦利·库布里克,斯坦利·库布里克 / 吉姆·汤普森,斯特林·海登 / 柯琳·格蕾 / 文斯·爱德华兹 / 杰伊·C·弗利朋 / 特·德·科若 / 更多...,惊悚 / 犯罪 / 黑色电影,美国,英语,1956-05-19(纽约首映) / 1956-06-06(美国),85分钟,杀戮 / 致命 / 火拼黑地狱(港),tt0049406,8.6,42145,40.3%,49.5%
1293941,https://movie.douban.com/subject/1293941/,奇迹 奇蹟 (1989),成龙,成龙 / 邓景生,成龙 / 梅艳芳 / 归亚蕾 / 柯俊雄 / 午马 / 更多...,剧情 / 喜剧 / 动作 / 犯罪,中国香港,粤语 / 英语,1989-06-15(中国香港),127分钟,替身的传说 / Mr. Canton and Lady Rose / The Canton Godfather / Black Dragon / Miracles,tt0098019,8.1,53363,30.0%,49.2%
1293945,https://movie.douban.com/subject/1293945/,爱与死 Love and Death (1975),伍迪·艾伦,伍迪·艾伦,伍迪·艾伦 / 黛安·基顿 / 乔治·阿代 / 埃德蒙·阿尔迪松 / 费奥多尔·阿特金 / 更多...,喜剧 / 战争,美国,英语,1975-06-10(美国),85分钟,,tt0073312,8.4,18708,38.3%,46.8%
1293963,https://movie.douban.com/subject/1293963/,午后之爱 L'amour l'après-midi (1972),埃里克·侯麦,埃里克·侯麦,贝尔纳·维尔莱 / 祖祖 / 弗朗索瓦丝·韦尔莱 / 丹尼尔·塞卡尔迪 / 玛尔维娜·佩内 / 更多...,剧情 / 爱情,法国,法语,1972-09-01(法国),97 分钟,下午的爱情 / 契洛埃在下午 / Chloe in the Afternoon / Love in the Afternoon,tt0068205,8.3,26734,31.7%,53.6%
