电影ID,电影链接,电影名称,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb,豆瓣评分,评价人数,5星,4星
10522066,https://movie.douban.com/subject/10522066/,待绽蔷薇 Starlet (2012),肖恩·贝克,肖恩·贝克 / 克里斯·贝格齐,德丽·海明威 / 贝塞德卡·约翰森 / 布尼 / 斯黛拉·麦薇 / 詹姆斯·兰索恩 / 更多...,剧情 / 情色,美国 / 英国,英语,2012-03-11(西南偏南电影节) / 2012-11-09(美国),103分钟,小明星(港/台) / 明日女优 / 小星星,tt2035630,7.5,13544,17.5%,44.2%
10533913,https://movie.douban.com/subject/10533913/,头脑特工队 Inside Out (2015),彼特·道格特 / 罗纳尔多·德尔·卡门,彼特·道格特 / 罗纳尔多·德尔·卡门 / 梅格·勒福夫 / 乔什·库雷 / 迈克尔·阿恩特 / 更多...,艾米·波勒 / 菲利丝·史密斯 / 理查德·坎德 / 比尔·哈德尔 / 刘易斯·布莱克 / 更多...,喜剧 / 动画 / 冒险,美国,英语,2015-10-06(中国大陆) / 2015-05-18(戛纳电影节) / 2015-06-19(美国),95分钟,玩转脑朋友(港) / 脑筋急转弯(台) / 头脑大作战 / 大脑环游记 / 脑中小小人 / 大脑内外 / 由内而外 / 头脑总动员,tt2096673,8.8,812838,53.9%,35.7%
10535562,https://movie.douban.com/subject/10535562/,突袭2：暴徒 The Raid 2: Berandal (2014),加雷斯·埃文斯,加雷斯·埃文斯,伊科·乌艾斯 / 朱莉·埃斯特尔 / 雅彦·鲁伊安 / 阿里芬·普特拉 / 唐尼·阿兰西亚 / 更多...,剧情 / 动作 / 犯罪,印度尼西亚 / 美国,印度尼西亚语 / 日语 / 英语 / 阿拉伯语,2014-01-21(圣丹斯电影节) / 2014-03-28(美国) / 2014-03(印尼),150分钟,全面突袭2 / 全面突袭2：拳力进击(台) / 突击死亡塔2：黑金任务(港) / 突袭2 / The Raid 2,tt2265171,8.1,78609,32.0%,45.2%
10535568,https://movie.douban.com/subject/10535568/,阿黛尔的生活 La Vie d'Adèle (2013),阿布戴·柯西胥,阿布戴·柯西胥 / 茱莉·马罗 / 加利亚·拉克鲁瓦,阿黛尔·艾克萨勒霍布洛斯 / 蕾雅·赛杜 / 萨利姆·克希乌什 / 杰里米·拉赫特 / 卡特琳·萨雷 / 更多...,剧情 / 爱情 / 同性,法国 / 比利时 / 西班牙,法语 / 英语,2013-05-23(戛纳电影节) / 2013-10-09(法国/比利时),179分钟,接近无限温暖的蓝(港) / 蓝色是最温暖的颜色(台) / 火热蓝色 / 阿黛儿的一生：第一、二章 / Adele: Chapters 1 & 2 / Blue Is the Warmest Color,tt2278871,8.4,285319,37.6%,44.5%
10537853,https://movie.douban.com/subject/10537853/,万箭穿心 (2012),王竞,吴楠,颜丙燕 / 陈刚 / 焦刚 / 李现 / 赵倩 / 更多...,剧情 / 家庭,中国大陆,汉语普通话 / 武汉方言,2012-11-16(中国大陆),118分钟,风水 / Feng Shui,tt2513344,8.6,286359,44.7%,44.2%
10543907,https://movie.douban.com/subject/10543907/,亨利五世 Henry V (2012),西娅·夏罗克,威廉·莎士比亚,汤姆·希德勒斯顿 / 朱丽·沃特斯 / 约翰·赫特 / 理查德·格雷弗斯 / 梅兰尼·蒂埃里 / 更多...,剧情 / 历史 / 战争,英国,英语,2012-07-21(英国),132分钟,空王冠4 / 虚妄之冠：亨利五世 / The Hollow Crown 4,tt2150275,8.7,11302,49.2%,38.7%
10545939,https://movie.douban.com/subject/10545939/,黄金时代 (2014),许鞍华,李樯,汤唯 / 冯绍峰 / 王志文 / 朱亚文 / 黄轩 / 更多...,剧情 / 爱情 / 传记,中国大陆 / 中国香港,汉语普通话 / 粤语 / 上海话 / 武汉话 / 四川话 / 俄语 / 日语,2014-10-01(中国大陆/中国香港) / 2014-09-06(威尼斯电影节),179分钟,穿过爱情的漫长旅程 / 萧红传 / The Golden Era,tt3696086,7.4,198847,17.0%,42.6%
10546436,https://movie.douban.com/subject/10546436/,第一滴血5：最后的血 Rambo: Last Blood (2019),阿德里安·格鲁伯格,马修·西鲁尼克 / 西尔维斯特·史泰龙 / 丹·戈登 / 大卫·莫瑞尔,西尔维斯特·史泰龙 / 帕斯·贝加 / 塞尔吉奥·佩里斯-门切塔 / 阿德里安娜·巴拉萨 / 维特·蒙雷尔 / 更多...,动作 / 惊悚 / 冒险,美国 / 西班牙 / 保加利亚,英语 / 西班牙语,2019-09-18(印度尼西亚) / 2019-09-20(美国) / 2019-09-27(西班牙),89分钟 / 101分钟,第一滴血：终极血战(港) / 蓝波：最后一滴血(台) / 第一滴血5 / 兰博5：最后一滴血 / 第一滴血：最后一战 / Rambo V / Rambo 5 / Rambo 5: Last Blood / Rambo V: Last Blood,tt1206885,7.6,55485,22.6%,41.2%
10558405,https://movie.douban.com/subject/10558405/,古畑任三郎完结篇 重生之死 古畑任三郎ファイナル 今、甦る死 (2006),星护,三谷幸喜,田村正和 / 西村雅彦 / 石井正则 / 石坂浩二 / 藤原竜也 / 更多...,悬疑 / 犯罪,日本,日语,2006-01-03(日本),105分钟,古畑任三郎之复苏之死,tt21443642,9,12114,61.1%,30.9%
10561911,https://movie.douban.com/subject/10561911/,时光钟摆 振り子 (2012),鉄拳,未知,未知,剧情 / 动画 / 短片,日本,无对白,2012-03-20,4分56秒,钟摆,tt4735456,8.6,10515,47.8%,37.3%
10569151,https://movie.douban.com/subject/10569151/,剧场版魔法少女小圆 新篇 叛逆的故事 劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語 (2013),宫本幸裕 / 新房昭之,虚渊玄,悠木碧 / 斋藤千和 / 水桥香织 / 喜多村英梨 / 加藤英美里 / 更多...,动画,日本,日语,2013-10-26(日本),116分钟,Puella Magi Madoka Magica the Movie: Rebellion,tt2457282,9.3,27523,72.6%,21.0%
10571509,https://movie.douban.com/subject/10571509/,如父如子 そして父になる (2013),是枝裕和,是枝裕和,福山雅治 / 尾野真千子 / 真木阳子 / 中川雅也 / 风吹淳 / 更多...,剧情 / 家庭,日本,日语,2024-12-06(中国大陆) / 2013-09-28(日本),120分钟,"谁调换了我的父亲(港) / 我的意外爸爸(台) / 有其父必有其子 / 然后变成爸爸 / Like Father, Like Son / Tel Père, Tel Fils / Soshite Chichi Ni Naru",tt2331143,8.7,197352,45.3%,45.5%
10574468,https://movie.douban.com/subject/10574468/,北京遇上西雅图 (2013),薛晓路,薛晓路,汤唯 / 吴秀波 / 海清 / 宋美曼 / 宋美慧 / 更多...,喜剧 / 爱情,中国大陆 / 中国香港,汉语普通话 / 英语 / 闽南语,2013-03-21(中国大陆) / 2016-03-29(重映),123分钟,美丽有缘 / 情定西雅图 / Finding Mr. Right / Anchoring in Seattle,tt2169322,7.3,613976,15.1%,41.7%
10574622,https://movie.douban.com/subject/10574622/,人再囧途之泰囧 (2012),徐峥,徐峥 / 丁丁 / 束焕,徐峥 / 王宝强 / 黄渤 / 陶虹 / 谢楠 / 更多...,喜剧,中国大陆,汉语普通话 / 英语 / 泰语,2012-12-12(中国大陆),105分钟,泰囧 / 人在囧途2 / Lost in Thailand,tt2459022,7.5,832672,19.1%,43.3%
10576419,https://movie.douban.com/subject/10576419/,蓝色茉莉 Blue Jasmine (2013),伍迪·艾伦,伍迪·艾伦,凯特·布兰切特 / 莎莉·霍金斯 / 亚历克·鲍德温 / 安德鲁·戴斯·克雷 / 鲍比·坎纳瓦尔 / 更多...,剧情 / 家庭,美国,英语,2013-08-23(美国),98分钟,蓝色茱莉(台) / 情迷蓝茉莉(港) / 蓝茉莉,tt2334873,8,169561,24.5%,54.6%
10569150,https://movie.douban.com/subject/10569150/,剧场版魔法少女小圆 后篇 永远的故事 劇場版 魔法少女まどか☆マギカ [後編] 永遠の物語 (2012),新房昭之 / 宫本幸裕,虚渊玄,悠木碧 / 斋藤千和 / 水桥香织 / 喜多村英梨 / 加藤英美里 / 野中蓝 / 新谷良子 / 后藤邑子 / 岩永哲哉 / 岩男润子 / 吉田圣子 / 松本大 / 松冈祯丞 / 梅津秀行 / 大久保瑠美 / 松嵜丽 / 佐仓绫音,动画 / 悬疑 / 惊悚 / 奇幻,日本,日语,2012-10-27(中国香港) / 2012-10-13(日本),109分钟(日本),Puella Magi Madoka Magica the Movie: Eternal,tt2194724,9.2,9221,70.4%,23.1%
10577869,https://movie.douban.com/subject/10577869/,时空恋旅人 About Time (2013),理查德·柯蒂斯,理查德·柯蒂斯,多姆纳尔·格里森 / 瑞秋·麦克亚当斯 / 比尔·奈伊 / 莉迪亚·威尔逊 / 琳赛·邓肯 / 更多...,喜剧 / 爱情 / 奇幻,英国 / 美国,英语,2013-09-04(英国),123分钟,回到最爱的一天(港) / 真爱每一天(台) / 时空旅恋人 / 时空旅的恋人,tt2194499,8.8,799272,52.8%,36.2%
10594965,https://movie.douban.com/subject/10594965/,实习生 The Intern (2015),南希·迈耶斯,南希·迈耶斯,罗伯特·德尼罗 / 安妮·海瑟薇 / 蕾妮·罗素 / 安德斯·霍尔姆 / 乔乔·库什纳 / 更多...,喜剧,美国,英语,2015-09-25(美国),121分钟,高年级实习生(台) / 见习冇限耆(港),tt2361509,8,365061,27.4%,49.3%
10598440,https://movie.douban.com/subject/10598440/,空中营救 Non-Stop (2014),佐米·希尔拉,约翰·W·理查森 / 克里斯托弗·罗奇 / 瑞安·恩格尔,连姆·尼森 / 朱丽安·摩尔 / 斯科特·麦克纳里 / 米歇尔·道克瑞 / 内特·派克 / 更多...,动作 / 悬疑 / 惊悚 / 灾难,英国 / 法国 / 美国,英语 / 德语,2014-09-19(中国大陆) / 2014-01-27(巴黎首映) / 2014-02-28(美国),106分钟,急速天劫 / 直航杀机(港) / 空中救援(台) / 永不停歇 / 极速天劫,tt2024469,7.6,154299,15.0%,51.1%
10604086,https://movie.douban.com/subject/10604086/,封神第一部：朝歌风云 (2023),乌尔善,冉平 / 冉甲男 / 乌尔善 / 曹昇,费翔 / 李雪健 / 黄渤 / 于适 / 陈牧驰 / 更多...,动作 / 战争 / 奇幻 / 古装,中国大陆,汉语普通话,2023-07-20(中国大陆) / 2023-07-15(大规模点映),148分钟,封神第一部 / 封神三部曲1 / 封神演义系列·龙之战 / 封神三部曲之妖乱国殇 / Creation of the Gods Ⅰ: Kingdom of Storms / Creation of the Gods Ⅰ,tt6979756,7.7,1291977,26.7%,41.5%
10608242,https://movie.douban.com/subject/10608242/,女尸谜案 El cuerpo (2012),奥里奥尔·保罗,奥里奥尔·保罗 / 拉拉·森迪姆,何塞·科罗纳多 / 乌戈·席尔瓦 / 贝伦·鲁埃达 / 奥拉·加里多 / 胡安·巴勃罗·舒克 / 更多...,悬疑 / 惊悚 / 犯罪,西班牙,西班牙语,2012-12-21(西班牙),111分钟,尸物招领(台) / 尸体 / The Body,tt1937149,7.6,55314,17.2%,49.8%
10617158,https://movie.douban.com/subject/10617158/,纸人 Paperman (2012),约翰·卡尔斯,克莱奥·蒋 / 肯德勒·霍耶,约翰·卡尔斯 / 杰夫·特里 / 凯瑞·华格伦,喜剧 / 爱情 / 动画 / 短片,美国,英语,2012-11-02(美国),7分钟,纸上谈情 / Im Flug erobert / O Rapaz do Papel / Paperirakkautta,tt2388725,8.1,74659,32.5%,44.0%
10617175,https://movie.douban.com/subject/10617175/,新鲜鳄梨酱 Fresh Guacamole (2012),亚当·派瑟帕恩,亚当·派瑟帕恩,未知,动画 / 短片,美国,无对白,2012-03-02(洛杉矶首映),1分45秒,鳄梨色拉,tt2309977,8,15658,29.8%,44.8%
10727641,https://movie.douban.com/subject/10727641/,碟中谍5：神秘国度 Mission: Impossible - Rogue Nation (2015),克里斯托弗·麦奎里,克里斯托弗·麦奎里 / 德鲁·皮尔斯 / 布鲁斯·盖勒,汤姆·克鲁斯 / 杰瑞米·雷纳 / 丽贝卡·弗格森 / 西蒙·佩吉 / 文·瑞姆斯 / 更多...,动作 / 惊悚 / 冒险,美国 / 中国大陆 / 奥地利 / 英国 / 摩洛哥,英语 / 瑞典语 / 德语,2015-09-08(中国大陆) / 2015-07-31(美国),131分钟,碟中谍5 / 职业特工队：叛逆帝国(港) / 不可能的任务：失控国度(台) / 碟中谍：失控国度 / Mission: Impossible 5 / M:i 5,tt2381249,7.9,354481,22.5%,52.3%
10733376,https://movie.douban.com/subject/10733376/,逆光飞翔 逆光飛翔 (2012),张荣吉,李念修,张榕容 / 黄裕翔 / 李烈 / 许芳宜 / 柯淑勤 / 更多...,剧情 / 爱情,中国台湾,汉语普通话,2013-06-08(中国大陆) / 2012-09-21(中国台湾),107分钟(中国大陆) / 110分钟(台湾),Touch of the Light,tt2368920,8.2,94429,30.2%,49.1%
10741220,https://movie.douban.com/subject/10741220/,布鲁克林 Brooklyn (2015),约翰·克劳利,尼克·霍恩比 / 科尔姆·托宾,西尔莎·罗南 / 多姆纳尔·格里森 / 艾莫里·科恩 / 吉姆·布劳德本特 / 朱丽·沃特斯 / 更多...,剧情 / 爱情,英国 / 加拿大 / 爱尔兰,英语 / 拉丁语,2015-01-26(圣丹斯电影节) / 2015-11-06(爱尔兰/英国),111分钟(英国),布鲁克林之恋(港) / 爱在他乡(台),tt2381111,7.9,138009,23.1%,51.3%
10583098,https://movie.douban.com/subject/10583098/,十二怒汉（电视版） Studio One: Twelve Angry Men (1954),富兰克林·沙夫纳,雷金纳德·罗斯,罗伯特·卡明斯 / 法兰奇·汤恩 / 爱德华·阿诺德 / 保罗·哈特曼 / 约翰·贝尔 / 更多...,剧情 / 悬疑 / 犯罪,美国,英语,1954-09-20(美国),52分钟,,tt0122737,9.5,28758,76.9%,19.5%
10741643,https://movie.douban.com/subject/10741643/,我的个神啊 PK (2014),拉吉库马尔·希拉尼,拉吉库马尔·希拉尼 / 阿希贾特·乔希,阿米尔·汗 / 安努舒卡·莎玛 / 桑杰·达特 / 博曼·伊拉尼 / 沙鲁巴·舒克拉 / 更多...,喜剧 / 奇幻,印度,印地语 / 英语 / 乌尔都语,2015-05-22(中国大陆) / 2014-12-19(印度),139分钟(中国大陆) / 153分钟(印度),外星醉汉PK地球神 / 来自星星的傻瓜PK(台) / Peekay / P.K.,tt2338151,8.4,385171,39.0%,45.6%
10741871,https://movie.douban.com/subject/10741871/,地球之盐 Le sel de la Terre (2014),维姆·文德斯 / 朱利安·诺里贝罗·萨尔加多,维姆·文德斯 / 朱利安·诺里贝罗·萨尔加多 / 戴维·罗西尔 / Camille Delafon,塞巴斯蒂昂·萨尔加多 / 维姆·文德斯 / 朱利安·诺里贝罗·萨尔加多 / Lélia Wanick Salgado,纪录片 / 传记,法国 / 意大利 / 巴西,法语 / 英语 / 葡萄牙语,2014-10-15(法国),110分钟,萨尔加多的凝视(台) / 大地之盐 / 地上的盐 / The Salt of the Earth,tt3674140,9.3,44723,71.9%,23.5%
10745405,https://movie.douban.com/subject/10745405/,冒牌家庭 We're the Millers (2013),罗森·马歇尔·瑟伯,鲍勃·费希尔 / 史蒂夫·法贝尔 / 西恩·安德斯 / 约翰·莫里斯,詹妮弗·安妮斯顿 / 杰森·苏戴奇斯 / 威尔·保尔特 / 艾玛·罗伯茨 / 艾德·赫尔姆斯 / 更多...,喜剧,美国,英语,2013-08-07(美国),110分钟 / 118分钟(加长版),名瞒戆族(港) / 全家就是米家(台) / 米勒一家,tt1723121,7.5,83390,16.7%,45.4%
10746175,https://movie.douban.com/subject/10746175/,惊天危机 White House Down (2013),罗兰·艾默里奇,詹姆斯·范德比尔特,查宁·塔图姆 / 杰米·福克斯 / 玛吉·吉伦哈尔 / 杰森·克拉克 / 理查德·詹金斯 / 更多...,动作 / 灾难,美国,英语,2013-07-22(中国大陆) / 2013-06-28(美国),132分钟(中国大陆) / 131分钟(美国),白宫末日(台) / 白宫坠落,tt2334879,7.3,134509,13.2%,44.6%
10746430,https://movie.douban.com/subject/10746430/,阿修罗 アシュラ (2012),佐藤敬一,高桥郁子,野泽雅子 / 林原惠美 / 玄田哲章 / 平田广明 / 岛田敏 / 更多...,动画 / 恐怖 / 历史,日本,日语,2012-06-18(上海电影节) / 2012-09-29(日本),76分钟,Asura,tt2328505,8.2,26971,33.3%,46.1%
10747804,https://movie.douban.com/subject/10747804/,头朝下的生活 Head Over Heels (2012),蒂莫西·锐科特,蒂莫西·锐科特,奈杰尔·安东尼 / 鲁思·拉贾·麦克考尔,喜剧 / 动画 / 短片,英国,英语,2012-05-24(戛纳电影节) / 2013-02-06(美国),11分钟,,tt2391009,8.3,18904,32.1%,50.8%
10748226,https://movie.douban.com/subject/10748226/,人生七年8 56 Up (2012),迈克尔·艾普特 / 保罗·阿尔蒙德,未知,迈克尔·艾普特 / Bruce Balden / Jacqueline Bassett / Symon Basterfield,纪录片,英国,英语,2012-05-14(英国),144分钟,人生七载之当我五十六 / 56岁起 / 人生七年第八季,tt2147134,9.4,18437,73.3%,23.2%
10754780,https://movie.douban.com/subject/10754780/,无人引航 Rudderless (2014),威廉·H·梅西,威廉·H·梅西 / 杰夫·罗比逊 / 凯西·特温特,比利·克鲁德普 / 安东·叶利钦 / 菲丽西提·霍夫曼 / 威廉·H·梅西 / 迈尔斯·赫尔泽 / 赛琳娜·戈麦斯 / 劳伦斯·菲什伯恩 / 郑智麟,剧情 / 音乐,美国,英语,2014-10-17(美国),105分钟,生命没有归处(台) / 无人指导,tt1798243,8.1,21646,27.3%,52.0%
10755367,https://movie.douban.com/subject/10755367/,寂静人生 Still Life (2013),乌贝托·帕索里尼,乌贝托·帕索里尼,埃迪·马森 / 琼安·弗洛加特 / 安德鲁·巴肯 / 迈克尔·埃尔金 / 保罗·安德森 / 更多...,剧情,英国 / 意大利,英语,2013-09-03(威尼斯电影节),92分钟,继续活着 / 无人出席的告別式,tt2395417,9,81872,58.6%,34.4%
10756537,https://movie.douban.com/subject/10756537/,杀死比尔：整个血腥事件 Kill Bill: The Whole Bloody Affair (2006),昆汀·塔伦蒂诺,昆汀·塔伦蒂诺 / 乌玛·瑟曼,乌玛·瑟曼 / 刘玉玲 / 薇薇卡·福克斯 / 迈克尔·马德森 / 达丽尔·汉纳 / 更多...,动作 / 犯罪,美国,英语,2006-05(戛纳电影节) / 2011-03-27(美国),275分钟,追杀比尔：完全血腥事件(台) / 标杀令：终极血腥版(港) / 追杀比尔：整个血腥事件 / 标杀令：整个血腥事件 / 杀死比尔：血腥合集,tt6019206,8.7,56711,49.8%,39.3%
10757577,https://movie.douban.com/subject/10757577/,卡罗尔 Carol (2015),托德·海因斯,菲丽丝·奈吉 / 帕特里西亚·海史密斯,凯特·布兰切特 / 鲁妮·玛拉 / 凯尔·钱德勒 / 杰克·莱西 / 莎拉·保罗森 / 更多...,剧情 / 爱情 / 同性,英国 / 美国,英语,2015-05-17(戛纳电影节) / 2015-11-27(英国) / 2016-01-15(美国),118分钟,因为爱你(台) / 卡露的情人(港) / 卡萝尔 / 盐的代价 / The Price of Salt,tt2402927,8.4,313553,39.1%,44.0%
10757823,https://movie.douban.com/subject/10757823/,豪斯医生完季特别篇：天鹅挽歌 House: Swan Song (2012),Matthew Fife,Chad Callner,休·劳瑞 / 欧玛·艾普斯 / 罗伯特·肖恩·莱纳德 / 杰西·斯宾塞 / 彼得·雅各布森 / 更多...,纪录片,美国,英语,2012-05-21(美国),45分钟,《豪斯医生》完季特别篇 -- 天鹅挽歌,tt2266500,9.4,4503,78.6%,16.0%
10760030,https://movie.douban.com/subject/10760030/,绝美之城 La grande bellezza (2013),保罗·索伦蒂诺,保罗·索伦蒂诺 / 翁贝托·康塔罗,托尼·塞尔维洛 / 卡洛·维尔多内 / 萨布丽娜·费里利 / 卡洛·布奇罗索 / 雅雅·芙尔特 / 更多...,剧情,意大利 / 法国,意大利语 / 日语 / 西班牙语 / 汉语普通话,2013-05-21(戛纳电影节/意大利),141分钟 / 174分钟(加长版),罗马浮世绘(港) / 伟大之美 / 堕毁之国 / The Great Beauty,tt2358891,8.2,69067,35.8%,42.2%
10762817,https://movie.douban.com/subject/10762817/,幽灵行动阿尔法 Ghost Recon: Alpha (2012),弗朗索瓦·阿洛 / 埃尔韦·德·克雷西,格雷格·普鲁斯 / 蒂莫西·J·塞克斯顿 / 弗朗索瓦·阿洛,马克·伊瓦涅 / 乔普林·西伯顿 / 查尔斯·维恩 / Erich Redman / Nick Von Schlippe / 更多...,动作 / 科幻 / 短片,美国 / 英国 / 法国,英语,2012-05-03(美国),24分钟,汤姆·克兰西：幽灵行动阿尔法 / Tom Clancy's Ghost Recon: Alpha,tt2386231,8.2,22034,31.5%,47.2%
10763164,https://movie.douban.com/subject/10763164/,扫毒 掃毒 (2013),陈木胜,陈木胜 / 文隽 / 凌志民 / 黄进 / 谭惠贞,古天乐 / 张家辉 / 刘青云 / 袁泉 / 卢海鹏 / 更多...,剧情 / 动作 / 悬疑 / 犯罪,中国大陆 / 中国香港,汉语普通话 / 粤语 / 泰语 / 英语,2013-11-29(中国大陆) / 2013-12-05(中国香港),134分钟,变役 / 当局者 / The White Storm,tt2957774,7.6,300065,20.6%,44.6%
10763928,https://movie.douban.com/subject/10763928/,弗兰克 Frank (2014),伦尼·阿伯拉罕森,乔恩·容森 / 彼特·斯特劳恩,多姆纳尔·格里森 / 迈克尔·法斯宾德 / 玛吉·吉伦哈尔 / 斯科特·麦克纳里 / 弗朗索瓦·西维尔 / 更多...,剧情 / 喜剧 / 音乐,英国 / 爱尔兰 / 美国,英语 / 法语 / 德语,2014-01-17(圣丹斯电影节) / 2014-05-09(英国/爱尔兰),95分钟,法兰克(台),tt1605717,7.9,54067,24.9%,47.4%
10772258,https://movie.douban.com/subject/10772258/,麦兜·当当伴我心 麥兜‧噹噹伴我心 (2012),谢立文,谢立文,黄秋生 / 吴君如 / 胡歌 / 郑中基 / 许飞,喜剧 / 动画,中国大陆 / 中国香港,汉语普通话 / 粤语,2012-07-10(中国大陆) / 2017-04-07(中国大陆重映) / 2012-08-16(中国香港),80分钟,腰花伴菜芯 / 麦兜故事5 / Mcdull · Pork of Music / The Pork of Music,tt2275080,8.5,121217,44.7%,40.0%
10773239,https://movie.douban.com/subject/10773239/,小男孩 Little Boy (2015),亚历杭德罗·戈麦斯·蒙特维尔德,亚历杭德罗·戈麦斯·蒙特维尔德 / 佩佩·波蒂略,雅各布·萨尔瓦提 / 凯文·詹姆斯 / 迈克尔·拉帕波特 / 大卫·亨瑞 / 艾米丽·沃森 / 更多...,剧情 / 喜剧 / 战争,墨西哥 / 美国,英语,2015-04-24(美国),106分钟,,tt1810683,8.3,64589,33.8%,48.3%
10774184,https://movie.douban.com/subject/10774184/,豪勇七蛟龙 The Magnificent Seven (2016),安东尼·福奎阿,黑泽明 / 桥本忍 / 小国英雄 / 理查德·温克 / 尼克·皮佐拉托,丹泽尔·华盛顿 / 克里斯·帕拉特 / 马特·波莫 / 伊桑·霍克 / 文森特·多诺费奥 / 更多...,动作 / 西部 / 冒险,美国 / 澳大利亚,英语 / 西班牙语,2016-09-08(多伦多电影节) / 2016-09-23(美国),133分钟,七侠荡寇志(港) / 绝地7骑士(台),tt2404435,7.7,54969,20.1%,48.7%
10777687,https://movie.douban.com/subject/10777687/,7号房的礼物 7번방의 선물 (2013),李焕京,李焕京 / 刘英雅,柳承龙 / 朴信惠 / 郑镇荣 / 金正泰 / 吴达洙 / 更多...,剧情 / 喜剧 / 家庭,韩国,韩语,2013-01-23(韩国),127分钟,戆爸的礼物(港) / 7号囚房的礼物 / 12月23日 / Gift From Room / Find Miracle in Cell No.7 / Miracle In Cell No.7,tt2659414,8.9,625219,57.4%,33.5%
10807909,https://movie.douban.com/subject/10807909/,智取威虎山 (2014),徐克,黄建新 / 李杨 / 徐克 / 吴兵 / 董哲 / 更多...,张涵予 / 梁家辉 / 林更新 / 余男 / 佟丽娅 / 更多...,剧情 / 动作 / 战争 / 冒险,中国大陆 / 中国香港,汉语普通话 / 英语,2014-12-23(中国大陆) / 2020-07-24(中国大陆重映),143分钟,智取威虎山3D / 林海雪原3D / The Taking of Tiger Mountain / Tracks in The Snowy Forest,tt3950078,7.7,429784,19.7%,50.5%
10808442,https://movie.douban.com/subject/10808442/,爱在午夜降临前 Before Midnight (2013),理查德·林克莱特,理查德·林克莱特 / 朱莉·德尔佩 / 伊桑·霍克 / 金·克里桑,伊桑·霍克 / 朱莉·德尔佩 / 肖姆斯·戴维-菲茨帕特里克 / 詹妮弗·普里尔 / 夏洛特·普里尔 / 更多...,剧情 / 爱情,美国 / 希腊,英语 / 希腊语 / 法语,2013-06-14(美国),109分钟,情约半生(港) / 爱在午夜希腊时(台) / 爱在午夜到来时 / 爱在午夜梦回时 / 午夜之前,tt2209418,8.9,478846,54.5%,35.0%
10810336,https://movie.douban.com/subject/10810336/,恐怖故事 무서운 이야기 (2012),洪智暎 / 林大雄 / 郑范识 / 金曲 / 金宣 / 更多...,未知,金贤秀 / 罗映姫 / 裴秀彬 / 郑恩彩 / 南宝拉 / 更多...,恐怖,韩国,韩语,2012-07-25(韩国),108分钟,一千零一魘(台) / Horror Stories,tt2961768,6.9,24270,10.8%,34.5%
10830069,https://movie.douban.com/subject/10830069/,测谎仪 Lie Detector (2011),Paul Emerson,Mike Heim / 丹恩·汉森,Danny Gutierrez / 丹恩·汉森 / Mike Heim,喜剧 / 短片 / 同性,美国,英语,2024-01-01,3分13秒,测谎机,tt1914302,8.3,13651,34.3%,49.1%
10831445,https://movie.douban.com/subject/10831445/,百鸟朝凤 (2013),吴天明,吴天明 / 罗雪莹 / 肖江虹,陶泽如 / 李岷城 / 嵇波 / 胡先煦 / 郑伟 / 更多...,剧情 / 音乐,中国大陆,汉语普通话,2016-05-06(中国大陆) / 2017-04-20(中国大陆重映) / 2013-09-25(金鸡百花电影节),108分钟,Song of the Phoenix,tt3214392,8.3,341515,37.7%,44.2%
10833919,https://movie.douban.com/subject/10833919/,美姐 (2012),郝杰,郝杰 / 葛夏,叶兰 / 冯四 / 葛夏 / 冯云 / 李玉琴 / 更多...,剧情 / 爱情 / 家庭,中国大陆,汉语普通话 / 晋语,2013-10-18(中国大陆) / 2012-11(中国台湾金马影展),91分钟,铁蛋儿的情歌 / The Love Songs Of Tiedan,tt2930988,7.8,30082,23.0%,49.0%
10945551,https://movie.douban.com/subject/10945551/,辛普森一家：托儿所的漫长日 The Simpsons: The Longest Daycare (2012),大卫·西尔弗曼,詹姆斯·L·布鲁克斯 / 马特·格罗宁 / 阿尔·让 / 大卫·米尔金 / 乔尔·H·科恩 / 更多...,未知,喜剧 / 动画 / 短片,美国,英语,2012-07-13(美国),5分钟,辛普森一家：漫长的日护 / 托儿所的漫长日 / Maggie Simpson in The Longest Daycare,tt2175842,8.3,13053,33.5%,49.2%
11026735,https://movie.douban.com/subject/11026735/,超能陆战队 Big Hero 6 (2014),唐·霍尔 / 克里斯·威廉姆斯,乔丹·罗伯茨 / 丹尼尔·吉尔森 / 罗伯特·L·贝尔德,斯科特·安第斯 / 瑞恩·波特 / 丹尼尔·海尼 / T·J·米勒 / 郑智麟 / 更多...,喜剧 / 动作 / 科幻 / 动画 / 冒险,美国,英语,2015-02-28(中国大陆) / 2020-07-31(中国大陆重映) / 2014-10-23(东京电影节) / 2014-11-07(美国),102分钟,大英雄联盟(港) / 大英雄天团(台) / 六大英雄 / (●—●),tt2245084,8.8,1151559,49.4%,40.1%
11443314,https://movie.douban.com/subject/11443314/,里约大冒险2 Rio 2 (2014),卡洛斯·沙尔丹哈,唐·莱默 / 卡洛斯·沙尔丹哈,安妮·海瑟薇 / 杰西·艾森伯格 / 布鲁诺·马尔斯 / 杰米·福克斯 / 克里斯汀·肯诺恩斯 / 更多...,喜剧 / 动画 / 冒险,美国,英语 / 葡萄牙语,2014-04-11(中国大陆/美国),101分钟,奇鹦嘉年华2(港),tt2357291,7.7,143522,20.9%,47.9%
